trial_idx,channel,d1,d2,d3,correction,image_path,target_x,target_y,target_theta,est_x,est_y,est_theta,err_dx_mm,err_dy_mm,err_dtheta_deg,gt_dx_mm,gt_dy_mm,gt_dtheta_deg,cycle,iters,time_s,residual_pos_mm,residual_ang_deg,gt_residual_pos_mm,gt_residual_ang_deg,success,success_gt,state
0,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t0.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,0,1,0.112,9.836,3.468,10.0,3.0,0,0,DONE
1,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t1.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,1,1,0.109,9.836,3.468,10.0,3.0,0,0,DONE
2,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t2.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,2,1,0.099,9.836,3.468,10.0,3.0,0,0,DONE
3,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t3.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,3,1,0.101,9.836,3.468,10.0,3.0,0,0,DONE
4,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t4.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,4,1,0.104,9.836,3.468,10.0,3.0,0,0,DONE
5,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t5.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,5,1,0.105,9.836,3.468,10.0,3.0,0,0,DONE
6,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t6.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,6,1,0.104,9.836,3.468,10.0,3.0,0,0,DONE
7,d1,strong,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1strong_d2off_d3off_corroff_t7.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,7,1,0.104,9.836,3.468,10.0,3.0,0,0,DONE
0,d2,off,weak,off,on,C:\Users\태원\R0B\experiments\run_images\d2_d1off_d2weak_d3off_corron_t0.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,0,3,0.481,0.381,0.0,0.173,0.105,1,1,DONE
1,d2,off,weak,off,on,C:\Users\태원\R0B\experiments\run_images\d2_d1off_d2weak_d3off_corron_t1.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,1,3,0.443,0.381,0.0,0.173,0.105,1,1,DONE
2,d2,off,weak,off,on,C:\Users\태원\R0B\experiments\run_images\d2_d1off_d2weak_d3off_corron_t2.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,2,3,0.445,0.381,0.0,0.173,0.105,1,1,DONE
3,d2,off,weak,off,on,C:\Users\태원\R0B\experiments\run_images\d2_d1off_d2weak_d3off_corron_t3.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,3,3,0.441,0.381,0.0,0.173,0.105,1,1,DONE
